-----------------------------------------------------------------------------------------------------
20日21时53分03秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
20日21时53分03秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnCfg,PKVal=BP.YG.Info
20日21时53分03秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
20日21时53分04秒Info:System');"成功[BP.YG.InfoItem-9]放入缓存。
20日21时53分11秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
20日21时53分11秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnCfg,PKVal=BP.YG.Info
20日21时53分11秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
20日21时53分11秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
20日21时53分11秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnCfg,PKVal=BP.YG.Info
20日21时53分11秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
20日21时53分15秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
20日21时53分15秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnCfg,PKVal=BP.YG.Info
20日21时53分15秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
20日21时53分15秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
20日21时53分15秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnCfg,PKVal=BP.YG.Info
20日21时53分15秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
20日21时53分21秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
20日21时53分21秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnCfg,PKVal=BP.YG.Info
20日21时53分21秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
20日21时53分22秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
20日21时53分22秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnCfg,PKVal=BP.YG.Info
20日21时53分22秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
20日21时53分24秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
20日21时53分24秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnCfg,PKVal=BP.YG.Info
20日21时53分24秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
20日21时53分24秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
20日21时53分24秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnCfg,PKVal=BP.YG.Info
20日21时53分24秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
20日21时53分27秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
20日21时53分27秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnCfg,PKVal=BP.YG.Info
20日21时53分27秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
20日21时53分27秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
20日21时53分27秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnCfg,PKVal=BP.YG.Info
20日21时53分27秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
20日21时53分30秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
20日21时53分30秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnCfg,PKVal=BP.YG.Info
20日21时53分30秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
20日21时53分30秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
20日21时53分30秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnCfg,PKVal=BP.YG.Info
20日21时53分30秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
20日21时53分34秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
20日21时53分34秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnCfg,PKVal=BP.YG.Info
20日21时53分34秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
20日21时53分34秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
20日21时53分34秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnCfg,PKVal=BP.YG.Info
20日21时53分34秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
20日21时53分35秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
20日21时53分35秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnCfg,PKVal=BP.YG.Info
20日21时53分35秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
20日21时53分35秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
20日21时53分35秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnCfg,PKVal=BP.YG.Info
20日21时53分35秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
20日21时53分38秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
20日21时53分38秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnCfg,PKVal=BP.YG.Info
20日21时53分38秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
20日21时53分38秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
20日21时53分38秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnCfg,PKVal=BP.YG.Info
20日21时53分38秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
